  <Chi2>	   dG(A)	   dG(B)	  dG(AB)	    m(A)	
9.343e-05	  -3.059	  -2.336	   4.274	   0.227	
9.840e-05	  -3.221	  -2.441	   4.489	   0.237	
1.313e-04	  -3.041	  -2.205	   4.216	   0.233	
9.106e-05	  -3.108	  -2.325	   4.307	   0.228	
1.037e-04	  -3.080	  -2.280	   4.241	   0.226	
1.218e-04	  -3.094	  -2.341	   4.323	   0.231	
9.505e-05	  -3.027	  -2.297	   4.226	   0.225	
8.755e-05	  -3.092	  -2.404	   4.348	   0.229	
1.221e-04	  -3.069	  -2.257	   4.287	   0.237	
1.019e-04	  -3.215	  -2.549	   4.499	   0.227	
8.931e-05	  -3.248	  -2.476	   4.473	   0.227	
1.036e-04	  -3.051	  -2.370	   4.317	   0.232	
1.023e-04	  -3.133	  -2.337	   4.363	   0.236	
9.586e-05	  -3.112	  -2.446	   4.407	   0.232	
1.081e-04	  -3.152	  -2.290	   4.344	   0.236	
9.432e-05	  -3.122	  -2.275	   4.298	   0.231	
1.051e-04	  -3.125	  -2.255	   4.277	   0.231	
9.127e-05	  -3.073	  -2.362	   4.301	   0.227	
1.088e-04	  -3.089	  -2.437	   4.378	   0.229	
9.106e-05	  -3.095	  -2.341	   4.308	   0.227	
1.097e-04	  -3.093	  -2.384	   4.346	   0.230	
1.009e-04	  -3.219	  -2.277	   4.357	   0.231	
9.828e-05	  -3.115	  -2.265	   4.265	   0.227	
1.234e-04	  -3.084	  -2.361	   4.318	   0.228	
1.084e-04	  -3.102	  -2.298	   4.292	   0.230	
1.035e-04	  -3.114	  -2.380	   4.344	   0.229	
1.063e-04	  -3.104	  -2.296	   4.290	   0.229	
1.151e-04	  -3.116	  -2.373	   4.347	   0.230	
9.247e-05	  -3.183	  -2.363	   4.400	   0.234	
1.073e-04	  -3.019	  -2.260	   4.225	   0.230	
8.883e-05	  -3.267	  -2.467	   4.483	   0.228	
8.985e-05	  -3.165	  -2.397	   4.407	   0.233	
1.038e-04	  -3.207	  -2.446	   4.462	   0.232	
1.098e-04	  -3.182	  -2.390	   4.428	   0.235	
9.263e-05	  -3.109	  -2.483	   4.411	   0.229	
9.825e-05	  -3.048	  -2.466	   4.335	   0.224	
1.006e-04	  -3.182	  -2.367	   4.347	   0.224	
8.806e-05	  -3.224	  -2.470	   4.529	   0.240	
8.175e-05	  -3.209	  -2.495	   4.505	   0.236	
1.098e-04	  -3.080	  -2.409	   4.374	   0.234	
1.052e-04	  -3.102	  -2.430	   4.374	   0.231	
9.237e-05	  -3.051	  -2.342	   4.313	   0.235	
1.049e-04	  -3.158	  -2.395	   4.387	   0.230	
9.463e-05	  -3.096	  -2.304	   4.285	   0.228	
1.003e-04	  -3.137	  -2.418	   4.403	   0.232	
8.801e-05	  -3.192	  -2.332	   4.363	   0.230	
1.144e-04	  -3.063	  -2.402	   4.323	   0.228	
9.330e-05	  -3.081	  -2.360	   4.319	   0.229	
1.000e-04	  -3.062	  -2.372	   4.309	   0.228	
1.069e-04	  -3.216	  -2.325	   4.429	   0.240	
1.147e-04	  -3.028	  -2.370	   4.269	   0.224	
1.120e-04	  -3.227	  -2.368	   4.409	   0.231	
1.079e-04	  -3.224	  -2.380	   4.438	   0.234	
9.378e-05	  -3.159	  -2.420	   4.429	   0.235	
1.044e-04	  -3.144	  -2.400	   4.408	   0.235	
8.191e-05	  -3.010	  -2.409	   4.294	   0.227	
8.416e-05	  -3.138	  -2.321	   4.340	   0.231	
1.107e-04	  -3.293	  -2.346	   4.453	   0.234	
1.136e-04	  -3.050	  -2.287	   4.244	   0.228	
9.775e-05	  -3.033	  -2.324	   4.292	   0.234	
1.115e-04	  -3.240	  -2.367	   4.435	   0.234	
8.296e-05	  -3.254	  -2.347	   4.425	   0.232	
9.265e-05	  -3.143	  -2.428	   4.381	   0.228	
1.123e-04	  -3.207	  -2.364	   4.417	   0.234	
9.142e-05	  -3.243	  -2.463	   4.504	   0.235	
1.271e-04	  -3.147	  -2.327	   4.325	   0.228	
8.756e-05	  -3.090	  -2.325	   4.331	   0.235	
9.259e-05	  -3.138	  -2.338	   4.357	   0.233	
9.975e-05	  -3.057	  -2.274	   4.226	   0.225	
8.640e-05	  -3.156	  -2.398	   4.421	   0.237	
9.513e-05	  -3.118	  -2.261	   4.245	   0.223	
1.042e-04	  -3.202	  -2.313	   4.370	   0.232	
9.754e-05	  -3.221	  -2.414	   4.439	   0.230	
1.091e-04	  -3.189	  -2.208	   4.303	   0.233	
9.384e-05	  -3.079	  -2.415	   4.355	   0.231	
9.778e-05	  -3.092	  -2.367	   4.359	   0.235	
1.099e-04	  -3.144	  -2.435	   4.426	   0.234	
9.485e-05	  -3.081	  -2.349	   4.300	   0.228	
9.665e-05	  -3.153	  -2.357	   4.375	   0.233	
1.070e-04	  -3.140	  -2.399	   4.380	   0.229	
8.243e-05	  -3.025	  -2.235	   4.178	   0.224	
9.760e-05	  -2.805	  -2.228	   4.077	   0.229	
1.123e-04	  -3.203	  -2.285	   4.362	   0.233	
1.062e-04	  -3.145	  -2.411	   4.398	   0.231	
8.617e-05	  -3.125	  -2.364	   4.370	   0.233	
9.727e-05	  -3.152	  -2.325	   4.339	   0.231	
1.143e-04	  -3.056	  -2.190	   4.175	   0.225	
1.040e-04	  -3.157	  -2.371	   4.408	   0.237	
1.335e-04	  -3.171	  -2.276	   4.327	   0.231	
9.411e-05	  -3.146	  -2.396	   4.370	   0.227	
1.019e-04	  -3.212	  -2.536	   4.537	   0.236	
1.044e-04	  -3.022	  -2.378	   4.289	   0.227	
1.230e-04	  -3.150	  -2.373	   4.372	   0.231	
1.018e-04	  -3.127	  -2.371	   4.361	   0.232	
1.077e-04	  -3.057	  -2.328	   4.281	   0.229	
1.175e-04	  -3.146	  -2.346	   4.393	   0.238	
1.125e-04	  -3.202	  -2.486	   4.505	   0.237	
1.114e-04	  -3.209	  -2.440	   4.426	   0.226	
1.018e-04	  -3.200	  -2.406	   4.436	   0.234	
1.022e-04	  -3.100	  -2.454	   4.393	   0.230	
9.335e-05	  -3.157	  -2.500	   4.454	   0.230	
9.233e-05	  -3.086	  -2.492	   4.421	   0.234	
9.174e-05	  -3.201	  -2.319	   4.369	   0.231	
1.093e-04	  -3.057	  -2.348	   4.307	   0.232	
1.029e-04	  -3.196	  -2.460	   4.470	   0.233	
1.005e-04	  -3.178	  -2.427	   4.437	   0.233	
1.028e-04	  -3.099	  -2.308	   4.298	   0.231	
